2025-03-15 13:17:19,186 INFO    MainThread:175977 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2025-03-15 13:17:19,188 INFO    MainThread:175977 [wandb_setup.py:_flush():76] Configure stats pid to 175977
2025-03-15 13:17:19,189 INFO    MainThread:175977 [wandb_setup.py:_flush():76] Loading settings from /home/dennis00/.config/wandb/settings
2025-03-15 13:17:19,189 INFO    MainThread:175977 [wandb_setup.py:_flush():76] Loading settings from /home/dennis00/cortexGPT/wandb/settings
2025-03-15 13:17:19,189 INFO    MainThread:175977 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2025-03-15 13:17:19,190 INFO    MainThread:175977 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2025-03-15 13:17:19,190 INFO    MainThread:175977 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2025-03-15 13:17:19,191 INFO    MainThread:175977 [wandb_init.py:_log_setup():526] Logging user logs to /home/dennis00/cortexGPT/wandb/run-20250315_131719-onmmrx7d/logs/debug.log
2025-03-15 13:17:19,192 INFO    MainThread:175977 [wandb_init.py:_log_setup():527] Logging internal logs to /home/dennis00/cortexGPT/wandb/run-20250315_131719-onmmrx7d/logs/debug-internal.log
2025-03-15 13:17:19,192 INFO    MainThread:175977 [wandb_init.py:_jupyter_setup():472] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f8bcbeb7370>
2025-03-15 13:17:19,193 INFO    MainThread:175977 [wandb_init.py:init():566] calling init triggers
2025-03-15 13:17:19,193 INFO    MainThread:175977 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'seed': 0, 'dataset_name': 'ms', 'do_train': True, 'load_model': '../scGPT_data/scGPT_human', 'mask_ratio': 0.0, 'epochs': 10, 'n_bins': 51, 'MVC': False, 'ecs_thres': 0.0, 'dab_weight': 0.0, 'lr': 0.0001, 'batch_size': 32, 'layer_size': 128, 'nlayers': 4, 'nhead': 4, 'dropout': 0.2, 'schedule_ratio': 0.9, 'save_eval_interval': 5, 'fast_transformer': True, 'pre_norm': False, 'amp': True, 'include_zero_gene': False, 'freeze': False, 'DSBN': False}
2025-03-15 13:17:19,194 INFO    MainThread:175977 [wandb_init.py:init():616] starting backend
2025-03-15 13:17:19,195 INFO    MainThread:175977 [wandb_init.py:init():620] setting up manager
2025-03-15 13:17:19,198 INFO    MainThread:175977 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: fork
2025-03-15 13:17:19,201 INFO    MainThread:175977 [wandb_init.py:init():628] backend started and connected
2025-03-15 13:17:19,215 INFO    MainThread:175977 [wandb_run.py:_label_probe_notebook():1295] probe notebook
2025-03-15 13:17:19,216 INFO    MainThread:175977 [wandb_run.py:_label_probe_notebook():1305] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2025-03-15 13:17:19,216 INFO    MainThread:175977 [wandb_init.py:init():720] updated telemetry
2025-03-15 13:17:19,244 INFO    MainThread:175977 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2025-03-15 13:17:19,589 INFO    MainThread:175977 [wandb_run.py:_on_init():2262] communicating current version
2025-03-15 13:17:19,643 INFO    MainThread:175977 [wandb_run.py:_on_init():2271] got version response upgrade_message: "wandb version 0.19.8 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

